"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",186,7,31
"""Adults with Only Other Income""",202,40,32
"""Adults with Both Earned and Other Income""",28,0,6
"""Adults with No Income""",600,12,162
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,0
"""Adults with Missing Income Information""",23,0,4
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,407,0
"""Number of Adult Stayers without Required Annual Assessment""",0,344,0
"""Total Adults""",1045,810,235
"""1 or More Source of Income""",471,48,81
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
