, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",1,1,0,0,0
"""Rental by client, no ongoing subsidy""",60,26,34,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",8,3,5,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Staying or living with family, permanent tenure""",11,5,6,0,0
"""Staying or living with friends, permanent tenure""",1,0,1,0,0
"""Rental by client, with RRH or equivalent subsidy""",2,2,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",7,0,7,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",91,38,53,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",37,30,7,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,0,3,0,0
"""Staying or living with family, temporary tenure""",32,10,22,0,0
"""Staying or living with friends, temporary tenure""",20,10,10,0,0
"""Place not meant for human habitation""",40,31,9,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",31,14,17,0,0
"""Host Home (non-crisis) """,1,1,0,0,0
"""Subtotal""",164,96,68,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",1,1,0,0,0
"""Psychiatric hospital or other psychiatric facility""",3,3,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",2,2,0,0,0
"""Jail, prison, or juvenile detention facility""",2,2,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",8,8,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",3,3,0,0,0
"""Other""",12,11,1,0,0
"""Client Doesn't Know/Client Refused""",11,11,0,0,0
"""Data Not Collected (no exit interview completed)""",17,17,0,0,0
"""Subtotal""",43,42,1,0,0
"""Total""",306,184,122,0,0
"""Total persons exiting to positive housing destinations""",31,17,14,0,0
"""Total persons whose destinations excluded them from the calculation""",3,3,0,0,0
"""Percentage""",0.1,0.09,0.11,0.0,0.0
