, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",21,7,4
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",27,15,3
"""Social Security Disability Insurance (SSDI)""",23,8,3
"""VA Service - Connected Disability Compensation""",3,1,0
"""VA Non-Service Connected Disability Pension""",3,2,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",2,1,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",3,1,0
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",1,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,1,1
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,43,0
