, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",217,7,38
"""Unemployment Insurance""",5,0,1
"""Supplemental Security Income (SSI)""",120,22,19
"""Social Security Disability Insurance (SSDI)""",91,14,18
"""VA Service - Connected Disability Compensation""",8,2,1
"""VA Non-Service Connected Disability Pension""",4,4,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",16,1,4
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",17,3,3
"""Pension or retirement income from a former job""",7,1,1
"""Child Support""",11,0,2
"""Alimony and other spousal support""",0,0,0
"""Other Source""",7,1,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
