income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,17,17,34,0.5,5,20,25,0.2,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Supplemental Security Income (SSI),20,4,24,0.83,0,0,0,0.0,1,0,1,1.0,adults,2019-10-01,2019-10-31,Q19b
Social Security Disability Insurance (SSDI),16,1,17,0.94,2,0,2,1.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
VA Service-Connected Disability Compensation,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Private Disability Insurance,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Worker's Compensation,2,0,2,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Temporary Assistance for Needy Families (TANF),1,2,3,0.33,0,1,1,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Retirement Income from Social Security,3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Child Support,1,2,3,0.33,0,2,2,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Other source,4,0,4,1.0,0,1,1,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
No Sources,17,33,50,0.34,0,8,8,0.0,0,0,0,0.0,adults,2019-10-01,2019-10-31,Q19b
Unduplicated Total Adults,68,57,125,NA,6,29,35,NA,1,0,1,NA,adults,2019-10-01,2019-10-31,Q19b
