report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1173,all_persons,2019-10-01,2019-10-31,Q5a
Number of Adults (age 18 or over),844,all_persons,2019-10-01,2019-10-31,Q5a
Number of Children (under age 18),319,all_persons,2019-10-01,2019-10-31,Q5a
Number of Persons with Unknown Age,10,all_persons,2019-10-01,2019-10-31,Q5a
Number of Leavers,337,all_persons,2019-10-01,2019-10-31,Q5a
Number of Adult Leavers,286,all_persons,2019-10-01,2019-10-31,Q5a
Number of Adult and Head of Household Leavers,286,all_persons,2019-10-01,2019-10-31,Q5a
Number of Stayers,836,all_persons,2019-10-01,2019-10-31,Q5a
Number of Adult Stayers,558,all_persons,2019-10-01,2019-10-31,Q5a
Number of Veterans,44,all_persons,2019-10-01,2019-10-31,Q5a
Number of Chronically Homeless Persons,107,all_persons,2019-10-01,2019-10-31,Q5a
Number of Youth Under Age 25,76,all_persons,2019-10-01,2019-10-31,Q5a
Number of Parenting Youth Under Age 25 with Children,13,all_persons,2019-10-01,2019-10-31,Q5a
Number of Adult Heads of Household,695,all_persons,2019-10-01,2019-10-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2019-10-01,2019-10-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,156,all_persons,2019-10-01,2019-10-31,Q5a
