dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,30,all_persons,2019-10-01,2019-10-31,Q14b,without_children,17
Yes,30,all_persons,2019-10-01,2019-10-31,Q14b,with_children_and_adults,13
Yes,30,all_persons,2019-10-01,2019-10-31,Q14b,with_only_children,0
Yes,30,all_persons,2019-10-01,2019-10-31,Q14b,unknown_household_type,0
No,184,all_persons,2019-10-01,2019-10-31,Q14b,without_children,136
No,184,all_persons,2019-10-01,2019-10-31,Q14b,with_children_and_adults,48
No,184,all_persons,2019-10-01,2019-10-31,Q14b,with_only_children,0
No,184,all_persons,2019-10-01,2019-10-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2019-10-01,2019-10-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2019-10-01,2019-10-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2019-10-01,2019-10-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2019-10-01,2019-10-31,Q14b,unknown_household_type,0
Data Not Collected,6,all_persons,2019-10-01,2019-10-31,Q14b,without_children,6
Data Not Collected,6,all_persons,2019-10-01,2019-10-31,Q14b,with_children_and_adults,0
Data Not Collected,6,all_persons,2019-10-01,2019-10-31,Q14b,with_only_children,0
Data Not Collected,6,all_persons,2019-10-01,2019-10-31,Q14b,unknown_household_type,0
