number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,206
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,9
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,52
Adults with Only Other Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,168
Adults with Only Other Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,40
Adults with Only Other Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,46
Adults with Both Earned and Other Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,40
Adults with Both Earned and Other Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,3
Adults with Both Earned and Other Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,8
Adults with No Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,406
Adults with No Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,12
Adults with No Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,175
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,20
Adults with Missing Income Information,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,5
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,402
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,92
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,844
Total Adults,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,558
Total Adults,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,286
1 or More Source of Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,450
1 or More Source of Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,54
1 or More Source of Income,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,117
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_annual_assessment_stayers,64
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-10-01,2019-10-31,Q18,number_of_adults_at_exit_leavers,0
