persons_served,total,population,start_date,end_date,question,household_type,count
Adults,386,all_persons,2017-06-01,2017-06-30,Q7a,without_children,271
Adults,386,all_persons,2017-06-01,2017-06-30,Q7a,with_children_and_adults,114
Adults,386,all_persons,2017-06-01,2017-06-30,Q7a,with_only_children,0
Adults,386,all_persons,2017-06-01,2017-06-30,Q7a,unknown_household_type,1
Children,158,all_persons,2017-06-01,2017-06-30,Q7a,without_children,0
Children,158,all_persons,2017-06-01,2017-06-30,Q7a,with_children_and_adults,147
Children,158,all_persons,2017-06-01,2017-06-30,Q7a,with_only_children,11
Children,158,all_persons,2017-06-01,2017-06-30,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2017-06-01,2017-06-30,Q7a,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-06-01,2017-06-30,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2017-06-01,2017-06-30,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-06-01,2017-06-30,Q7a,unknown_household_type,0
Data Not Collected,2,all_persons,2017-06-01,2017-06-30,Q7a,without_children,0
Data Not Collected,2,all_persons,2017-06-01,2017-06-30,Q7a,with_children_and_adults,0
Data Not Collected,2,all_persons,2017-06-01,2017-06-30,Q7a,with_only_children,0
Data Not Collected,2,all_persons,2017-06-01,2017-06-30,Q7a,unknown_household_type,2
For PSH and RRH - the total persons served who moved into housing,134,all_persons,2017-06-01,2017-06-30,Q7a,without_children,76
For PSH and RRH - the total persons served who moved into housing,134,all_persons,2017-06-01,2017-06-30,Q7a,with_children_and_adults,58
For PSH and RRH - the total persons served who moved into housing,134,all_persons,2017-06-01,2017-06-30,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,134,all_persons,2017-06-01,2017-06-30,Q7a,unknown_household_type,0
