report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,546,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adults (age 18 or over),386,all_persons,2017-06-01,2017-06-30,Q5a
Number of Children (under age 18),158,all_persons,2017-06-01,2017-06-30,Q5a
Number of Persons with Unknown Age,2,all_persons,2017-06-01,2017-06-30,Q5a
Number of Leavers,62,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adult Leavers,43,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adult and Head of Household Leavers,43,all_persons,2017-06-01,2017-06-30,Q5a
Number of Stayers,484,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adult Stayers,343,all_persons,2017-06-01,2017-06-30,Q5a
Number of Veterans,20,all_persons,2017-06-01,2017-06-30,Q5a
Number of Chronically Homeless Persons,48,all_persons,2017-06-01,2017-06-30,Q5a
Number of Youth Under Age 25,15,all_persons,2017-06-01,2017-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,3,all_persons,2017-06-01,2017-06-30,Q5a
Number of Adult Heads of Household,313,all_persons,2017-06-01,2017-06-30,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2017-06-01,2017-06-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,136,all_persons,2017-06-01,2017-06-30,Q5a
