count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_entry,225
No Sources,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,18
No Sources,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_exit_for_leavers,21
1 + Source(s),all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_entry,123
1 + Source(s),all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,23
1 + Source(s),all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_exit_for_leavers,11
Client Doesn't Know/Client Refused,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_entry,38
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,302
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2017-06-01,2017-06-30,Q20b,benefit_at_exit_for_leavers,11
