time_prior_to_housing,total,population,start_date,end_date,question,household_type,count
7 days or less,49,all_persons,2017-06-01,2017-06-30,Q22e,without_children,30
7 days or less,49,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,19
7 days or less,49,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
7 days or less,49,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
8 to 14 days,8,all_persons,2017-06-01,2017-06-30,Q22e,without_children,0
8 to 14 days,8,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,8
8 to 14 days,8,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
8 to 14 days,8,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
15 to 21 days,4,all_persons,2017-06-01,2017-06-30,Q22e,without_children,1
15 to 21 days,4,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,3
15 to 21 days,4,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
15 to 21 days,4,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
22 to 30 days,13,all_persons,2017-06-01,2017-06-30,Q22e,without_children,4
22 to 30 days,13,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,9
22 to 30 days,13,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
22 to 30 days,13,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
31 to 60 days,31,all_persons,2017-06-01,2017-06-30,Q22e,without_children,11
31 to 60 days,31,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,20
31 to 60 days,31,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
31 to 60 days,31,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
61 to 180 days,31,all_persons,2017-06-01,2017-06-30,Q22e,without_children,13
61 to 180 days,31,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,17
61 to 180 days,31,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,1
61 to 180 days,31,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
181 to 365 days,19,all_persons,2017-06-01,2017-06-30,Q22e,without_children,9
181 to 365 days,19,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,10
181 to 365 days,19,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
181 to 365 days,19,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
366-730 days (1-2 years),25,all_persons,2017-06-01,2017-06-30,Q22e,without_children,22
366-730 days (1-2 years),25,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,3
366-730 days (1-2 years),25,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
366-730 days (1-2 years),25,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
731 days or more,24,all_persons,2017-06-01,2017-06-30,Q22e,without_children,24
731 days or more,24,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,0
731 days or more,24,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
731 days or more,24,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
Total (persons moved into housing),204,all_persons,2017-06-01,2017-06-30,Q22e,without_children,114
Total (persons moved into housing),204,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,89
Total (persons moved into housing),204,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,1
Total (persons moved into housing),204,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
Not yet moved into housing,29,all_persons,2017-06-01,2017-06-30,Q22e,without_children,2
Not yet moved into housing,29,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,27
Not yet moved into housing,29,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
Not yet moved into housing,29,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
Data not collected,10,all_persons,2017-06-01,2017-06-30,Q22e,without_children,5
Data not collected,10,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,5
Data not collected,10,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,0
Data not collected,10,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
Total persons,243,all_persons,2017-06-01,2017-06-30,Q22e,without_children,121
Total persons,243,all_persons,2017-06-01,2017-06-30,Q22e,with_children_and_adults,121
Total persons,243,all_persons,2017-06-01,2017-06-30,Q22e,with_only_children,1
Total persons,243,all_persons,2017-06-01,2017-06-30,Q22e,unknown_household_type,0
