dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,12,all_persons,2017-06-01,2017-06-30,Q14b,without_children,7
Yes,12,all_persons,2017-06-01,2017-06-30,Q14b,with_children_and_adults,5
Yes,12,all_persons,2017-06-01,2017-06-30,Q14b,with_only_children,0
Yes,12,all_persons,2017-06-01,2017-06-30,Q14b,unknown_household_type,0
No,40,all_persons,2017-06-01,2017-06-30,Q14b,without_children,19
No,40,all_persons,2017-06-01,2017-06-30,Q14b,with_children_and_adults,21
No,40,all_persons,2017-06-01,2017-06-30,Q14b,with_only_children,0
No,40,all_persons,2017-06-01,2017-06-30,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2017-06-01,2017-06-30,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-06-01,2017-06-30,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2017-06-01,2017-06-30,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2017-06-01,2017-06-30,Q14b,unknown_household_type,0
Data Not Collected,6,all_persons,2017-06-01,2017-06-30,Q14b,without_children,5
Data Not Collected,6,all_persons,2017-06-01,2017-06-30,Q14b,with_children_and_adults,1
Data Not Collected,6,all_persons,2017-06-01,2017-06-30,Q14b,with_only_children,0
Data Not Collected,6,all_persons,2017-06-01,2017-06-30,Q14b,unknown_household_type,0
