"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",102,3,24
"""Adults with Only Other Income""",126,19,22
"""Adults with Both Earned and Other Income""",19,1,10
"""Adults with No Income""",189,13,56
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,2
"""Adults with Missing Income Information""",10,0,2
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,207,0
"""Number of Adult Stayers without Required Annual Assessment""",0,89,0
"""Total Adults""",448,332,116
"""1 or More Source of Income""",260,26,60
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,36,0
