, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",122,4,34
"""Unemployment Insurance""",4,0,0
"""Supplemental Security Income (SSI)""",76,16,17
"""Social Security Disability Insurance (SSDI)""",55,9,6
"""VA Service - Connected Disability Compensation""",7,1,2
"""VA Non-Service Connected Disability Pension""",2,0,0
"""Private Disability Insurance""",1,0,1
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",12,0,4
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",7,1,2
"""Pension or retirement income from a former job""",2,0,1
"""Child Support""",10,0,5
"""Alimony and other spousal support""",0,0,0
"""Other Source""",2,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,36,0
