, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",3,10,13,0.23,1,20,21,0.05,0,0,0,0.0
"""Supplemental Security Income (SSI)""",10,3,13,0.77,2,2,4,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",4,1,5,0.8,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,1,1,0.0,0,3,3,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",0,2,2,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",1,0,1,1.0,0,5,5,0.0,0,0,0,0.0
"""Other source""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",11,16,27,0.41,1,13,14,0.07,0,0,0,0.0
"""Unduplicated Total Adults""",28,32,60,,4,34,38,,0,0,0,
