"""Total Number of Persons Served""",605
"""Number of Adults (age 18 or over)""",448
"""Number of Children (under age 18)""",155
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",185
"""Number of Adult Leavers""",116
"""Number of Adult and Head of Household Leavers""",116
"""Number of Stayers""",420
"""Number of Adult Stayers""",332
"""Number of Veterans""",28
"""Number of Chronically Homeless Persons""",64
"""Number of Youth Under Age 25""",23
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",379
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",125
