, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",123,20,103,0,0
"""Rental by client, with VASH subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",2,2,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",5,2,3,0,0
"""Staying or living with friends, permanent tenure""",5,2,3,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",136,27,109,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",4,2,2,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",3,3,0,0,0
"""Staying or living with friends, temporary tenure""",27,27,0,0,0
"""Place not meant for human habitation""",1,1,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",0,0,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",35,33,2,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",0,0,0,0,0
"""Jail, prison, or juvenile detention facility""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",1,1,0,0,0
"""Other""",0,0,0,0,0
"""Client Doesn't Know/Client Refused""",3,3,0,0,0
"""Data Not Collected (no exit interview completed)""",10,9,1,0,0
"""Subtotal""",14,13,1,0,0
"""Total""",185,73,112,0,0
"""Total persons exiting to positive housing destinations""",66,14,52,0,0
"""Total persons whose destinations excluded them from the calculation""",1,1,0,0,0
"""Percentage""",0.36,0.19,0.46,0.0,0.0
