income_sources,population,start_date,end_date,question,status,count
Earned Income,veterans,2014-11-01,2014-11-30,Q25g,income_at_start,1
Earned Income,veterans,2014-11-01,2014-11-30,Q25g,income_at_latest_annual_assessment_for_stayers,0
Earned Income,veterans,2014-11-01,2014-11-30,Q25g,income_at_exit_for_leavers,0
Unemployment Insurance,veterans,2014-11-01,2014-11-30,Q25g,income_at_start,1
Unemployment Insurance,veterans,2014-11-01,2014-11-30,Q25g,income_at_latest_annual_assessment_for_stayers,0
Unemployment Insurance,veterans,2014-11-01,2014-11-30,Q25g,income_at_exit_for_leavers,1
Supplemental Security Income (SSI),veterans,2014-11-01,2014-11-30,Q25g,income_at_start,4
Supplemental Security Income (SSI),veterans,2014-11-01,2014-11-30,Q25g,income_at_latest_annual_assessment_for_stayers,0
Supplemental Security Income (SSI),veterans,2014-11-01,2014-11-30,Q25g,income_at_exit_for_leavers,2
Social Security Disability Insurance (SSDI),veterans,2014-11-01,2014-11-30,Q25g,income_at_start,4
Social Security Disability Insurance (SSDI),veterans,2014-11-01,2014-11-30,Q25g,income_at_latest_annual_assessment_for_stayers,0
Social Security Disability Insurance (SSDI),veterans,2014-11-01,2014-11-30,Q25g,income_at_exit_for_leavers,3
VA Service - Connected Disability Compensation,veterans,2014-11-01,2014-11-30,Q25g,income_at_start,0
VA Service - Connected Disability Compensation,veterans,2014-11-01,2014-11-30,Q25g,income_at_latest_annual_assessment_for_stayers,0
VA Service - Connected Disability Compensation,veterans,2014-11-01,2014-11-30,Q25g,income_at_exit_for_leavers,0
VA Non-Service Connected Disability Pension,veterans,2014-11-01,2014-11-30,Q25g,income_at_start,0
VA Non-Service Connected Disability Pension,veterans,2014-11-01,2014-11-30,Q25g,income_at_latest_annual_assessment_for_stayers,0
VA Non-Service Connected Disability Pension,veterans,2014-11-01,2014-11-30,Q25g,income_at_exit_for_leavers,0
Private Disability Insurance,veterans,2014-11-01,2014-11-30,Q25g,income_at_start,0
Private Disability Insurance,veterans,2014-11-01,2014-11-30,Q25g,income_at_latest_annual_assessment_for_stayers,0
Private Disability Insurance,veterans,2014-11-01,2014-11-30,Q25g,income_at_exit_for_leavers,0
