pit_month,total,population,start_date,end_date,question,household_type,count
January,0,all_persons,2014-11-01,2014-11-30,Q7b,without_children,0
January,0,all_persons,2014-11-01,2014-11-30,Q7b,with_children_and_adults,0
January,0,all_persons,2014-11-01,2014-11-30,Q7b,with_only_children,0
January,0,all_persons,2014-11-01,2014-11-30,Q7b,unknown_household_type,0
April,0,all_persons,2014-11-01,2014-11-30,Q7b,without_children,0
April,0,all_persons,2014-11-01,2014-11-30,Q7b,with_children_and_adults,0
April,0,all_persons,2014-11-01,2014-11-30,Q7b,with_only_children,0
April,0,all_persons,2014-11-01,2014-11-30,Q7b,unknown_household_type,0
July,0,all_persons,2014-11-01,2014-11-30,Q7b,without_children,0
July,0,all_persons,2014-11-01,2014-11-30,Q7b,with_children_and_adults,0
July,0,all_persons,2014-11-01,2014-11-30,Q7b,with_only_children,0
July,0,all_persons,2014-11-01,2014-11-30,Q7b,unknown_household_type,0
October,0,all_persons,2014-11-01,2014-11-30,Q7b,without_children,0
October,0,all_persons,2014-11-01,2014-11-30,Q7b,with_children_and_adults,0
October,0,all_persons,2014-11-01,2014-11-30,Q7b,with_only_children,0
October,0,all_persons,2014-11-01,2014-11-30,Q7b,unknown_household_type,0
January,0,all_persons,2014-12-01,2014-12-31,Q7b,without_children,0
January,0,all_persons,2014-12-01,2014-12-31,Q7b,with_children_and_adults,0
January,0,all_persons,2014-12-01,2014-12-31,Q7b,with_only_children,0
January,0,all_persons,2014-12-01,2014-12-31,Q7b,unknown_household_type,0
April,0,all_persons,2014-12-01,2014-12-31,Q7b,without_children,0
April,0,all_persons,2014-12-01,2014-12-31,Q7b,with_children_and_adults,0
April,0,all_persons,2014-12-01,2014-12-31,Q7b,with_only_children,0
April,0,all_persons,2014-12-01,2014-12-31,Q7b,unknown_household_type,0
July,0,all_persons,2014-12-01,2014-12-31,Q7b,without_children,0
July,0,all_persons,2014-12-01,2014-12-31,Q7b,with_children_and_adults,0
July,0,all_persons,2014-12-01,2014-12-31,Q7b,with_only_children,0
July,0,all_persons,2014-12-01,2014-12-31,Q7b,unknown_household_type,0
October,0,all_persons,2014-12-01,2014-12-31,Q7b,without_children,0
October,0,all_persons,2014-12-01,2014-12-31,Q7b,with_children_and_adults,0
October,0,all_persons,2014-12-01,2014-12-31,Q7b,with_only_children,0
October,0,all_persons,2014-12-01,2014-12-31,Q7b,unknown_household_type,0
January,397,all_persons,2015-01-01,2015-01-31,Q7b,without_children,220
January,397,all_persons,2015-01-01,2015-01-31,Q7b,with_children_and_adults,175
January,397,all_persons,2015-01-01,2015-01-31,Q7b,with_only_children,2
January,397,all_persons,2015-01-01,2015-01-31,Q7b,unknown_household_type,0
April,0,all_persons,2015-01-01,2015-01-31,Q7b,without_children,0
April,0,all_persons,2015-01-01,2015-01-31,Q7b,with_children_and_adults,0
April,0,all_persons,2015-01-01,2015-01-31,Q7b,with_only_children,0
April,0,all_persons,2015-01-01,2015-01-31,Q7b,unknown_household_type,0
July,0,all_persons,2015-01-01,2015-01-31,Q7b,without_children,0
July,0,all_persons,2015-01-01,2015-01-31,Q7b,with_children_and_adults,0
July,0,all_persons,2015-01-01,2015-01-31,Q7b,with_only_children,0
July,0,all_persons,2015-01-01,2015-01-31,Q7b,unknown_household_type,0
October,0,all_persons,2015-01-01,2015-01-31,Q7b,without_children,0
October,0,all_persons,2015-01-01,2015-01-31,Q7b,with_children_and_adults,0
October,0,all_persons,2015-01-01,2015-01-31,Q7b,with_only_children,0
October,0,all_persons,2015-01-01,2015-01-31,Q7b,unknown_household_type,0
January,0,all_persons,2015-02-01,2015-02-28,Q7b,without_children,0
January,0,all_persons,2015-02-01,2015-02-28,Q7b,with_children_and_adults,0
January,0,all_persons,2015-02-01,2015-02-28,Q7b,with_only_children,0
January,0,all_persons,2015-02-01,2015-02-28,Q7b,unknown_household_type,0
April,0,all_persons,2015-02-01,2015-02-28,Q7b,without_children,0
April,0,all_persons,2015-02-01,2015-02-28,Q7b,with_children_and_adults,0
April,0,all_persons,2015-02-01,2015-02-28,Q7b,with_only_children,0
April,0,all_persons,2015-02-01,2015-02-28,Q7b,unknown_household_type,0
July,0,all_persons,2015-02-01,2015-02-28,Q7b,without_children,0
July,0,all_persons,2015-02-01,2015-02-28,Q7b,with_children_and_adults,0
July,0,all_persons,2015-02-01,2015-02-28,Q7b,with_only_children,0
July,0,all_persons,2015-02-01,2015-02-28,Q7b,unknown_household_type,0
October,0,all_persons,2015-02-01,2015-02-28,Q7b,without_children,0
October,0,all_persons,2015-02-01,2015-02-28,Q7b,with_children_and_adults,0
October,0,all_persons,2015-02-01,2015-02-28,Q7b,with_only_children,0
October,0,all_persons,2015-02-01,2015-02-28,Q7b,unknown_household_type,0
January,0,all_persons,2015-03-01,2015-03-31,Q7b,without_children,0
January,0,all_persons,2015-03-01,2015-03-31,Q7b,with_children_and_adults,0
January,0,all_persons,2015-03-01,2015-03-31,Q7b,with_only_children,0
January,0,all_persons,2015-03-01,2015-03-31,Q7b,unknown_household_type,0
April,0,all_persons,2015-03-01,2015-03-31,Q7b,without_children,0
April,0,all_persons,2015-03-01,2015-03-31,Q7b,with_children_and_adults,0
April,0,all_persons,2015-03-01,2015-03-31,Q7b,with_only_children,0
April,0,all_persons,2015-03-01,2015-03-31,Q7b,unknown_household_type,0
July,0,all_persons,2015-03-01,2015-03-31,Q7b,without_children,0
July,0,all_persons,2015-03-01,2015-03-31,Q7b,with_children_and_adults,0
July,0,all_persons,2015-03-01,2015-03-31,Q7b,with_only_children,0
July,0,all_persons,2015-03-01,2015-03-31,Q7b,unknown_household_type,0
October,0,all_persons,2015-03-01,2015-03-31,Q7b,without_children,0
October,0,all_persons,2015-03-01,2015-03-31,Q7b,with_children_and_adults,0
