non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_start,4
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_exit_for_leavers,2
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_start,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_start,3
Other Source,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other Source,chronically_homeless,2014-11-01,2014-11-30,Q26h,benefit_at_exit_for_leavers,1
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_start,6
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,1
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_exit_for_leavers,1
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_start,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_start,3
Other Source,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,1
Other Source,chronically_homeless,2014-12-01,2014-12-31,Q26h,benefit_at_exit_for_leavers,1
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_start,8
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,1
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_exit_for_leavers,2
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_start,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_start,3
Other Source,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,1
Other Source,chronically_homeless,2015-01-01,2015-01-31,Q26h,benefit_at_exit_for_leavers,1
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_start,10
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_latest_annual_assessment_for_stayers,2
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_exit_for_leavers,6
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_start,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_start,5
Other Source,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_latest_annual_assessment_for_stayers,2
Other Source,chronically_homeless,2015-02-01,2015-02-28,Q26h,benefit_at_exit_for_leavers,2
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_start,8
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,2
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_exit_for_leavers,2
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_start,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_start,5
Other Source,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,2
Other Source,chronically_homeless,2015-03-01,2015-03-31,Q26h,benefit_at_exit_for_leavers,0
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_start,7
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,2
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_exit_for_leavers,2
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_start,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_start,4
Other Source,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,2
Other Source,chronically_homeless,2015-04-01,2015-04-30,Q26h,benefit_at_exit_for_leavers,1
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_start,7
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,4
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_exit_for_leavers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_start,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_start,3
Other Source,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,5
Other Source,chronically_homeless,2015-05-01,2015-05-31,Q26h,benefit_at_exit_for_leavers,0
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_start,7
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,4
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_exit_for_leavers,1
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_start,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_start,3
Other Source,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,5
Other Source,chronically_homeless,2015-06-01,2015-06-30,Q26h,benefit_at_exit_for_leavers,1
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-07-01,2015-07-31,Q26h,benefit_at_start,6
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-07-01,2015-07-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,4
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-07-01,2015-07-31,Q26h,benefit_at_exit_for_leavers,0
