conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_start,5
Mental Health Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_latest_assessment_for_stayers,1
Mental Health Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_exit_for_leavers,4
Alcohol Use Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_start,0
Alcohol Use Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_latest_assessment_for_stayers,0
Alcohol Use Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_exit_for_leavers,0
Drug Use Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_start,0
Drug Use Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_latest_assessment_for_stayers,0
Drug Use Disorder,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_start,0
Both Alcohol and Drug Use Disorders,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_latest_assessment_for_stayers,0
Both Alcohol and Drug Use Disorders,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_exit_for_leavers,0
Chronic Health Condition,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_start,5
Chronic Health Condition,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_latest_assessment_for_stayers,3
Chronic Health Condition,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_exit_for_leavers,2
HIV/AIDS,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_start,0
HIV/AIDS,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_latest_assessment_for_stayers,0
HIV/AIDS,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_exit_for_leavers,0
Development Disability,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_start,0
Development Disability,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_latest_assessment_for_stayers,0
Development Disability,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_exit_for_leavers,0
Physical Disability,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_start,4
Physical Disability,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_latest_assessment_for_stayers,3
Physical Disability,veterans,2014-11-01,2014-11-30,Q25e,conditions_at_exit_for_leavers,1
Mental Health Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_start,4
Mental Health Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_latest_assessment_for_stayers,2
Mental Health Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_exit_for_leavers,2
Alcohol Use Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_start,0
Alcohol Use Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_latest_assessment_for_stayers,0
Alcohol Use Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_exit_for_leavers,0
Drug Use Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_start,0
Drug Use Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_latest_assessment_for_stayers,0
Drug Use Disorder,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_start,0
Both Alcohol and Drug Use Disorders,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_latest_assessment_for_stayers,0
Both Alcohol and Drug Use Disorders,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_exit_for_leavers,0
Chronic Health Condition,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_start,5
Chronic Health Condition,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_latest_assessment_for_stayers,2
Chronic Health Condition,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_exit_for_leavers,3
HIV/AIDS,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_start,0
HIV/AIDS,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_latest_assessment_for_stayers,0
HIV/AIDS,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_exit_for_leavers,0
Development Disability,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_start,0
Development Disability,veterans,2014-12-01,2014-12-31,Q25e,conditions_at_latest_assessment_for_stayers,0
