non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_start,61
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,24
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_exit_for_leavers,7
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_start,3
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,2
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_start,2
Other Source,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,4
Other Source,chronically_homeless,2021-08-01,2021-08-31,Q26h,benefit_at_exit_for_leavers,0
