number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,186
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,31
Adults with Only Other Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,202
Adults with Only Other Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,40
Adults with Only Other Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,32
Adults with Both Earned and Other Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,28
Adults with Both Earned and Other Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,6
Adults with No Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,600
Adults with No Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,12
Adults with No Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,162
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,23
Adults with Missing Income Information,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,4
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,407
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,344
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,1045
Total Adults,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,810
Total Adults,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,235
1 or More Source of Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,471
1 or More Source of Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,48
1 or More Source of Income,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,81
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_annual_assessment_stayers,59
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-08-01,2021-08-31,Q18,number_of_adults_at_exit_leavers,0
