number_of_veterans_by_income_category,population,start_date,end_date,question,status,count
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,5
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
"Veterans with Only Earned Income (i.e., Employment Income)",veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,1
Veterans with Only Other Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,22
Veterans with Only Other Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,11
Veterans with Only Other Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,4
Veterans with Both Earned and Other Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,2
Veterans with Both Earned and Other Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Both Earned and Other Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with No Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,37
Veterans with No Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,2
Veterans with No Income,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,5
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Client Doesn't Know/Client Refused Income Information,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Veterans with Missing Income Information,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,1
Veterans with Missing Income Information,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,0
Veterans with Missing Income Information,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,1
Number of veterans not yet required to have an annual assessment,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans not yet required to have an annual assessment,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,29
Number of veterans not yet required to have an annual assessment,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Number of veterans without required annual assessment,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,0
Number of veterans without required annual assessment,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,14
Number of veterans without required annual assessment,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,0
Total Veterans,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_start,67
Total Veterans,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_annual_assessment_stayers,56
Total Veterans,veterans,2021-08-01,2021-08-31,Q25f,number_of_veterans_at_exit_leavers,11
