number_of_youth_by_income_category,population,start_date,end_date,question,status,count
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,10
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Only Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,4
Youth with Only Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Both Earned and Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,57
Youth with No Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,17
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,29
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,24
Number of Youth Stayers without Required Annual Assessment,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,73
Total Youth,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,53
Total Youth,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,20
1 or More Source of Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,17
1 or More Source of Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,4
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2021-08-01,2021-08-31,Q27h,number_of_youth_at_exit_leavers,0
