ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,166,all_persons,2021-08-01,2021-08-31,Q26b,without_children,147
Chronically Homeless ,166,all_persons,2021-08-01,2021-08-31,Q26b,with_children_and_adults,19
Chronically Homeless ,166,all_persons,2021-08-01,2021-08-31,Q26b,with_only_children,0
Chronically Homeless ,166,all_persons,2021-08-01,2021-08-31,Q26b,unknown_household_type,0
Not Chronically Homeless,1129,all_persons,2021-08-01,2021-08-31,Q26b,without_children,649
Not Chronically Homeless,1129,all_persons,2021-08-01,2021-08-31,Q26b,with_children_and_adults,450
Not Chronically Homeless,1129,all_persons,2021-08-01,2021-08-31,Q26b,with_only_children,18
Not Chronically Homeless,1129,all_persons,2021-08-01,2021-08-31,Q26b,unknown_household_type,12
Client Doesn't Know/Client Refused,12,all_persons,2021-08-01,2021-08-31,Q26b,without_children,12
Client Doesn't Know/Client Refused,12,all_persons,2021-08-01,2021-08-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,12,all_persons,2021-08-01,2021-08-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,12,all_persons,2021-08-01,2021-08-31,Q26b,unknown_household_type,0
Data Not Collected,49,all_persons,2021-08-01,2021-08-31,Q26b,without_children,41
Data Not Collected,49,all_persons,2021-08-01,2021-08-31,Q26b,with_children_and_adults,6
Data Not Collected,49,all_persons,2021-08-01,2021-08-31,Q26b,with_only_children,1
Data Not Collected,49,all_persons,2021-08-01,2021-08-31,Q26b,unknown_household_type,1
