count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_entry,605
No Sources,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,22
No Sources,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_exit_for_leavers,130
1 + Source(s),all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_entry,315
1 + Source(s),all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,36
1 + Source(s),all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_exit_for_leavers,61
Client Doesn't Know/Client Refused,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_entry,3
Client Doesn't Know/Client Refused,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_entry,122
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,752
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-08-01,2021-08-31,Q20b,benefit_at_exit_for_leavers,44
