length_participation,total,population,start_date,end_date,question,status,count
30 days or less,26,youth,2021-08-01,2021-08-31,Q27e,leavers,17
30 days or less,26,youth,2021-08-01,2021-08-31,Q27e,stayers,9
31 to 60 days,4,youth,2021-08-01,2021-08-31,Q27e,leavers,1
31 to 60 days,4,youth,2021-08-01,2021-08-31,Q27e,stayers,3
61 to 90 days,3,youth,2021-08-01,2021-08-31,Q27e,leavers,0
61 to 90 days,3,youth,2021-08-01,2021-08-31,Q27e,stayers,3
91 to 180 days,8,youth,2021-08-01,2021-08-31,Q27e,leavers,1
91 to 180 days,8,youth,2021-08-01,2021-08-31,Q27e,stayers,7
181 to 365 days,8,youth,2021-08-01,2021-08-31,Q27e,leavers,1
181 to 365 days,8,youth,2021-08-01,2021-08-31,Q27e,stayers,7
366 to 730 Days (1-2 Yrs),9,youth,2021-08-01,2021-08-31,Q27e,leavers,0
366 to 730 Days (1-2 Yrs),9,youth,2021-08-01,2021-08-31,Q27e,stayers,9
"731 to 1,095 Days (2-3 Yrs)",7,youth,2021-08-01,2021-08-31,Q27e,leavers,0
"731 to 1,095 Days (2-3 Yrs)",7,youth,2021-08-01,2021-08-31,Q27e,stayers,7
"1,096 to 1,460 Days (3-4 Yrs)",3,youth,2021-08-01,2021-08-31,Q27e,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",3,youth,2021-08-01,2021-08-31,Q27e,stayers,3
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2021-08-01,2021-08-31,Q27e,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",2,youth,2021-08-01,2021-08-31,Q27e,stayers,2
"More than 1,825 Days (>5 Yrs)",3,youth,2021-08-01,2021-08-31,Q27e,leavers,0
"More than 1,825 Days (>5 Yrs)",3,youth,2021-08-01,2021-08-31,Q27e,stayers,3
Data Not Collected,0,youth,2021-08-01,2021-08-31,Q27e,leavers,0
Data Not Collected,0,youth,2021-08-01,2021-08-31,Q27e,stayers,0
