report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1157,all_persons,2021-04-01,2021-04-30,Q5a
Number of Adults (age 18 or over),896,all_persons,2021-04-01,2021-04-30,Q5a
Number of Children (under age 18),251,all_persons,2021-04-01,2021-04-30,Q5a
Number of Persons with Unknown Age,10,all_persons,2021-04-01,2021-04-30,Q5a
Number of Leavers,212,all_persons,2021-04-01,2021-04-30,Q5a
Number of Adult Leavers,186,all_persons,2021-04-01,2021-04-30,Q5a
Number of Adult and Head of Household Leavers,186,all_persons,2021-04-01,2021-04-30,Q5a
Number of Stayers,945,all_persons,2021-04-01,2021-04-30,Q5a
Number of Adult Stayers,710,all_persons,2021-04-01,2021-04-30,Q5a
Number of Veterans,52,all_persons,2021-04-01,2021-04-30,Q5a
Number of Chronically Homeless Persons,168,all_persons,2021-04-01,2021-04-30,Q5a
Number of Youth Under Age 25,70,all_persons,2021-04-01,2021-04-30,Q5a
Number of Parenting Youth Under Age 25 with Children,15,all_persons,2021-04-01,2021-04-30,Q5a
Number of Adult Heads of Household,744,all_persons,2021-04-01,2021-04-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2021-04-01,2021-04-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,343,all_persons,2021-04-01,2021-04-30,Q5a
