pit_month,total,population,start_date,end_date,question,household_type,count
January,0,all_persons,2021-04-01,2021-04-30,Q7b,without_children,0
January,0,all_persons,2021-04-01,2021-04-30,Q7b,with_children_and_adults,0
January,0,all_persons,2021-04-01,2021-04-30,Q7b,with_only_children,0
January,0,all_persons,2021-04-01,2021-04-30,Q7b,unknown_household_type,0
April,970,all_persons,2021-04-01,2021-04-30,Q7b,without_children,588
April,970,all_persons,2021-04-01,2021-04-30,Q7b,with_children_and_adults,347
April,970,all_persons,2021-04-01,2021-04-30,Q7b,with_only_children,21
April,970,all_persons,2021-04-01,2021-04-30,Q7b,unknown_household_type,14
July,0,all_persons,2021-04-01,2021-04-30,Q7b,without_children,0
July,0,all_persons,2021-04-01,2021-04-30,Q7b,with_children_and_adults,0
July,0,all_persons,2021-04-01,2021-04-30,Q7b,with_only_children,0
July,0,all_persons,2021-04-01,2021-04-30,Q7b,unknown_household_type,0
October,0,all_persons,2021-04-01,2021-04-30,Q7b,without_children,0
October,0,all_persons,2021-04-01,2021-04-30,Q7b,with_children_and_adults,0
October,0,all_persons,2021-04-01,2021-04-30,Q7b,with_only_children,0
October,0,all_persons,2021-04-01,2021-04-30,Q7b,unknown_household_type,0
