dv_history,total,population,start_date,end_date,question,household_type,count
Yes,202,all_persons,2021-04-01,2021-04-30,Q14a,without_children,159
Yes,202,all_persons,2021-04-01,2021-04-30,Q14a,with_children_and_adults,43
Yes,202,all_persons,2021-04-01,2021-04-30,Q14a,with_only_children,0
Yes,202,all_persons,2021-04-01,2021-04-30,Q14a,unknown_household_type,0
No,671,all_persons,2021-04-01,2021-04-30,Q14a,without_children,563
No,671,all_persons,2021-04-01,2021-04-30,Q14a,with_children_and_adults,104
No,671,all_persons,2021-04-01,2021-04-30,Q14a,with_only_children,0
No,671,all_persons,2021-04-01,2021-04-30,Q14a,unknown_household_type,4
Client Doesn't Know/Client Refused,4,all_persons,2021-04-01,2021-04-30,Q14a,without_children,3
Client Doesn't Know/Client Refused,4,all_persons,2021-04-01,2021-04-30,Q14a,with_children_and_adults,1
Client Doesn't Know/Client Refused,4,all_persons,2021-04-01,2021-04-30,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2021-04-01,2021-04-30,Q14a,unknown_household_type,0
Data Not Collected,19,all_persons,2021-04-01,2021-04-30,Q14a,without_children,14
Data Not Collected,19,all_persons,2021-04-01,2021-04-30,Q14a,with_children_and_adults,5
Data Not Collected,19,all_persons,2021-04-01,2021-04-30,Q14a,with_only_children,0
Data Not Collected,19,all_persons,2021-04-01,2021-04-30,Q14a,unknown_household_type,0
