persons_served,total,population,start_date,end_date,question,household_type,count
Adults,905,all_persons,2020-02-01,2020-02-29,Q7a,without_children,705
Adults,905,all_persons,2020-02-01,2020-02-29,Q7a,with_children_and_adults,196
Adults,905,all_persons,2020-02-01,2020-02-29,Q7a,with_only_children,0
Adults,905,all_persons,2020-02-01,2020-02-29,Q7a,unknown_household_type,4
Children,286,all_persons,2020-02-01,2020-02-29,Q7a,without_children,0
Children,286,all_persons,2020-02-01,2020-02-29,Q7a,with_children_and_adults,273
Children,286,all_persons,2020-02-01,2020-02-29,Q7a,with_only_children,13
Children,286,all_persons,2020-02-01,2020-02-29,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2020-02-01,2020-02-29,Q7a,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2020-02-01,2020-02-29,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2020-02-01,2020-02-29,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2020-02-01,2020-02-29,Q7a,unknown_household_type,1
Data Not Collected,8,all_persons,2020-02-01,2020-02-29,Q7a,without_children,0
Data Not Collected,8,all_persons,2020-02-01,2020-02-29,Q7a,with_children_and_adults,0
Data Not Collected,8,all_persons,2020-02-01,2020-02-29,Q7a,with_only_children,0
Data Not Collected,8,all_persons,2020-02-01,2020-02-29,Q7a,unknown_household_type,8
For PSH and RRH - the total persons served who moved into housing,130,all_persons,2020-02-01,2020-02-29,Q7a,without_children,77
For PSH and RRH - the total persons served who moved into housing,130,all_persons,2020-02-01,2020-02-29,Q7a,with_children_and_adults,53
For PSH and RRH - the total persons served who moved into housing,130,all_persons,2020-02-01,2020-02-29,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,130,all_persons,2020-02-01,2020-02-29,Q7a,unknown_household_type,0
