income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,14,35,49,0.29,4,13,17,0.24,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Supplemental Security Income (SSI),22,3,25,0.88,3,2,5,0.6,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Social Security Disability Insurance (SSDI),20,1,21,0.95,2,1,3,0.67,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
VA Service-Connected Disability Compensation,3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Private Disability Insurance,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,0,1,1,0.0,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Retirement Income from Social Security,1,2,3,0.33,0,0,0,0.0,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Pension or retirement income from a former job,2,2,4,0.5,0,0,0,0.0,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Child Support,1,3,4,0.25,1,1,2,0.5,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Other source,1,1,2,0.5,2,0,2,1.0,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
No Sources,24,44,68,0.35,1,6,7,0.14,0,0,0,0.0,adults,2020-02-01,2020-02-29,Q19b
Unduplicated Total Adults,72,83,155,NA,8,21,29,NA,0,0,0,NA,adults,2020-02-01,2020-02-29,Q19b
