dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,35,all_persons,2021-05-01,2021-05-31,Q14b,without_children,26
Yes,35,all_persons,2021-05-01,2021-05-31,Q14b,with_children_and_adults,9
Yes,35,all_persons,2021-05-01,2021-05-31,Q14b,with_only_children,0
Yes,35,all_persons,2021-05-01,2021-05-31,Q14b,unknown_household_type,0
No,147,all_persons,2021-05-01,2021-05-31,Q14b,without_children,114
No,147,all_persons,2021-05-01,2021-05-31,Q14b,with_children_and_adults,33
No,147,all_persons,2021-05-01,2021-05-31,Q14b,with_only_children,0
No,147,all_persons,2021-05-01,2021-05-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2021-05-01,2021-05-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2021-05-01,2021-05-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2021-05-01,2021-05-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2021-05-01,2021-05-31,Q14b,unknown_household_type,0
Data Not Collected,9,all_persons,2021-05-01,2021-05-31,Q14b,without_children,8
Data Not Collected,9,all_persons,2021-05-01,2021-05-31,Q14b,with_children_and_adults,1
Data Not Collected,9,all_persons,2021-05-01,2021-05-31,Q14b,with_only_children,0
Data Not Collected,9,all_persons,2021-05-01,2021-05-31,Q14b,unknown_household_type,0
