income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,9,11,20,0.45,2,2,4,0.5,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Supplemental Security Income (SSI),13,1,14,0.93,1,1,2,0.5,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Social Security Disability Insurance (SSDI),10,0,10,1.0,1,0,1,1.0,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
VA Service-Connected Disability Compensation,2,0,2,1.0,0,0,0,0.0,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1.0,1,1,2,0.5,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Retirement Income from Social Security,1,3,4,0.25,0,0,0,0.0,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Child Support,0,0,0,0.0,1,1,2,0.5,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
Other source,1,3,4,0.25,0,0,0,0.0,0,0,0,0.0,adults,2021-05-01,2021-05-31,Q19b
No Sources,14,25,39,0.36,2,4,6,0.33,1,0,1,1.0,adults,2021-05-01,2021-05-31,Q19b
Unduplicated Total Adults,43,42,85,NA,6,7,13,NA,1,0,1,NA,adults,2021-05-01,2021-05-31,Q19b
