length,total,population,start_date,end_date,question,status,count
30 days or less,197,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,103
30 days or less,197,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,94
31 to 60 days,54,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,19
31 to 60 days,54,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,35
61 to 90 days,48,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,11
61 to 90 days,48,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,37
91 to 180 days,117,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,23
91 to 180 days,117,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,94
181 to 365 days,186,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,17
181 to 365 days,186,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,169
366 to 730 Days (1-2 Yrs),249,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,1
366 to 730 Days (1-2 Yrs),249,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,248
"731 to 1,095 Days (2-3 Yrs)",146,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",146,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,146
"1,096 to 1,460 Days (3-4 Yrs)",49,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",49,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,49
"1,461 to 1,825 Days (5-5 Yrs)",21,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",21,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,21
"More than 1,825 Days (>5 Yrs)",54,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",54,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,54
Data Not Collected,0,all_persons,2021-05-01,2021-05-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2021-05-01,2021-05-31,Q22a1,stayers,0
