report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1121,all_persons,2021-05-01,2021-05-31,Q5a
Number of Adults (age 18 or over),864,all_persons,2021-05-01,2021-05-31,Q5a
Number of Children (under age 18),247,all_persons,2021-05-01,2021-05-31,Q5a
Number of Persons with Unknown Age,10,all_persons,2021-05-01,2021-05-31,Q5a
Number of Leavers,174,all_persons,2021-05-01,2021-05-31,Q5a
Number of Adult Leavers,142,all_persons,2021-05-01,2021-05-31,Q5a
Number of Adult and Head of Household Leavers,143,all_persons,2021-05-01,2021-05-31,Q5a
Number of Stayers,947,all_persons,2021-05-01,2021-05-31,Q5a
Number of Adult Stayers,722,all_persons,2021-05-01,2021-05-31,Q5a
Number of Veterans,55,all_persons,2021-05-01,2021-05-31,Q5a
Number of Chronically Homeless Persons,173,all_persons,2021-05-01,2021-05-31,Q5a
Number of Youth Under Age 25,66,all_persons,2021-05-01,2021-05-31,Q5a
Number of Parenting Youth Under Age 25 with Children,11,all_persons,2021-05-01,2021-05-31,Q5a
Number of Adult Heads of Household,714,all_persons,2021-05-01,2021-05-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2021-05-01,2021-05-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,354,all_persons,2021-05-01,2021-05-31,Q5a
