veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,18,all_households,2021-05-01,2021-05-31,Q25b,without_children,18
Chronically Homeless Veteran,18,all_households,2021-05-01,2021-05-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,18,all_households,2021-05-01,2021-05-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,35,all_households,2021-05-01,2021-05-31,Q25b,without_children,34
Non-Chronically Homeless Veteran,35,all_households,2021-05-01,2021-05-31,Q25b,with_children_and_adults,1
Non-Chronically Homeless Veteran,35,all_households,2021-05-01,2021-05-31,Q25b,unknown_household_type,0
Not a Veteran,646,all_households,2021-05-01,2021-05-31,Q25b,without_children,558
Not a Veteran,646,all_households,2021-05-01,2021-05-31,Q25b,with_children_and_adults,85
Not a Veteran,646,all_households,2021-05-01,2021-05-31,Q25b,unknown_household_type,3
Client Doesn't Know/Client Refused,1,all_households,2021-05-01,2021-05-31,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2021-05-01,2021-05-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2021-05-01,2021-05-31,Q25b,unknown_household_type,0
Data Not Collected,12,all_households,2021-05-01,2021-05-31,Q25b,without_children,12
Data Not Collected,12,all_households,2021-05-01,2021-05-31,Q25b,with_children_and_adults,0
Data Not Collected,12,all_households,2021-05-01,2021-05-31,Q25b,unknown_household_type,0
