count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_entry,495
No Sources,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,26
No Sources,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_exit_for_leavers,72
1 + Source(s),all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_entry,272
1 + Source(s),all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,34
1 + Source(s),all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_exit_for_leavers,40
Client Doesn't Know/Client Refused,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_entry,2
Client Doesn't Know/Client Refused,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_entry,95
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,662
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2021-05-01,2021-05-31,Q20b,benefit_at_exit_for_leavers,30
