number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,154
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,16
Adults with Only Other Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,185
Adults with Only Other Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,40
Adults with Only Other Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,21
Adults with Both Earned and Other Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,27
Adults with Both Earned and Other Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,6
Adults with No Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,470
Adults with No Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,14
Adults with No Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,97
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,22
Adults with Missing Income Information,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,368
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,293
Number of Adult Stayers without Required Annual Assessment,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,864
Total Adults,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,722
Total Adults,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,142
1 or More Source of Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,415
1 or More Source of Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,48
1 or More Source of Income,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,49
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_annual_assessment_stayers,61
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2021-05-01,2021-05-31,Q18,number_of_adults_at_exit_leavers,0
