conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_start,8
Mental Health Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_latest_assessment_for_stayers,8
Mental Health Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_exit_for_leavers,0
Alcohol Use Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_start,5
Alcohol Use Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_latest_assessment_for_stayers,5
Alcohol Use Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_exit_for_leavers,0
Drug Use Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_start,3
Drug Use Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_latest_assessment_for_stayers,3
Drug Use Disorder,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_start,1
Both Alcohol and Drug Use Disorders,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_latest_assessment_for_stayers,1
Both Alcohol and Drug Use Disorders,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_exit_for_leavers,0
Chronic Health Condition,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_start,8
Chronic Health Condition,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_latest_assessment_for_stayers,8
Chronic Health Condition,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_exit_for_leavers,0
HIV/AIDS,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_start,2
HIV/AIDS,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_latest_assessment_for_stayers,2
HIV/AIDS,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_exit_for_leavers,0
Development Disability,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_start,1
Development Disability,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_latest_assessment_for_stayers,1
Development Disability,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_exit_for_leavers,0
Physical Disability,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_start,8
Physical Disability,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_latest_assessment_for_stayers,8
Physical Disability,veterans,2018-05-01,2018-05-31,Q25e,conditions_at_exit_for_leavers,0
