income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,6,16,22,0.27,2,19,21,0.1,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Supplemental Security Income (SSI),8,1,9,0.89,1,0,1,1.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Social Security Disability Insurance (SSDI),7,1,8,0.88,0,0,0,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,3,3,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Retirement Income from Social Security,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Child Support,0,0,0,0.0,0,3,3,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Other source,1,1,2,0.5,0,2,2,0.0,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
No Sources,3,6,9,0.33,2,7,9,0.22,0,0,0,0.0,adults,2018-05-01,2018-05-31,Q19b
Unduplicated Total Adults,21,23,44,NA,5,28,33,NA,0,0,0,NA,adults,2018-05-01,2018-05-31,Q19b
