count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_entry,229
No Sources,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,15
No Sources,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_exit_for_leavers,45
1 + Source(s),all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_entry,148
1 + Source(s),all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,26
1 + Source(s),all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_exit_for_leavers,34
Client Doesn't Know/Client Refused,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_entry,0
Client Doesn't Know/Client Refused,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_entry,22
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,276
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2018-05-01,2018-05-31,Q20b,benefit_at_exit_for_leavers,3
