dv_history,total,population,start_date,end_date,question,household_type,count
Yes,51,all_persons,2018-05-01,2018-05-31,Q14a,without_children,21
Yes,51,all_persons,2018-05-01,2018-05-31,Q14a,with_children_and_adults,30
Yes,51,all_persons,2018-05-01,2018-05-31,Q14a,with_only_children,0
Yes,51,all_persons,2018-05-01,2018-05-31,Q14a,unknown_household_type,0
No,329,all_persons,2018-05-01,2018-05-31,Q14a,without_children,235
No,329,all_persons,2018-05-01,2018-05-31,Q14a,with_children_and_adults,93
No,329,all_persons,2018-05-01,2018-05-31,Q14a,with_only_children,1
No,329,all_persons,2018-05-01,2018-05-31,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2018-05-01,2018-05-31,Q14a,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2018-05-01,2018-05-31,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2018-05-01,2018-05-31,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2018-05-01,2018-05-31,Q14a,unknown_household_type,0
Data Not Collected,18,all_persons,2018-05-01,2018-05-31,Q14a,without_children,14
Data Not Collected,18,all_persons,2018-05-01,2018-05-31,Q14a,with_children_and_adults,3
Data Not Collected,18,all_persons,2018-05-01,2018-05-31,Q14a,with_only_children,0
Data Not Collected,18,all_persons,2018-05-01,2018-05-31,Q14a,unknown_household_type,1
