time_prior_to_housing,total,population,start_date,end_date,question,household_type,count
7 days or less,26,all_persons,2018-05-01,2018-05-31,Q22e,without_children,23
7 days or less,26,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,3
7 days or less,26,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
7 days or less,26,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
8 to 14 days,6,all_persons,2018-05-01,2018-05-31,Q22e,without_children,0
8 to 14 days,6,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,6
8 to 14 days,6,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
8 to 14 days,6,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
15 to 21 days,1,all_persons,2018-05-01,2018-05-31,Q22e,without_children,1
15 to 21 days,1,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,0
15 to 21 days,1,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
15 to 21 days,1,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
22 to 30 days,8,all_persons,2018-05-01,2018-05-31,Q22e,without_children,1
22 to 30 days,8,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,7
22 to 30 days,8,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
22 to 30 days,8,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
31 to 60 days,19,all_persons,2018-05-01,2018-05-31,Q22e,without_children,8
31 to 60 days,19,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,11
31 to 60 days,19,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
31 to 60 days,19,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
61 to 180 days,44,all_persons,2018-05-01,2018-05-31,Q22e,without_children,17
61 to 180 days,44,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,27
61 to 180 days,44,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
61 to 180 days,44,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
181 to 365 days,37,all_persons,2018-05-01,2018-05-31,Q22e,without_children,11
181 to 365 days,37,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,26
181 to 365 days,37,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
181 to 365 days,37,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
366-730 days (1-2 years),23,all_persons,2018-05-01,2018-05-31,Q22e,without_children,21
366-730 days (1-2 years),23,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,2
366-730 days (1-2 years),23,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
366-730 days (1-2 years),23,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
731 days or more,36,all_persons,2018-05-01,2018-05-31,Q22e,without_children,27
731 days or more,36,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,9
731 days or more,36,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
731 days or more,36,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
Total (persons moved into housing),200,all_persons,2018-05-01,2018-05-31,Q22e,without_children,109
Total (persons moved into housing),200,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,91
Total (persons moved into housing),200,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
Total (persons moved into housing),200,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
Not yet moved into housing,25,all_persons,2018-05-01,2018-05-31,Q22e,without_children,7
Not yet moved into housing,25,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,18
Not yet moved into housing,25,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
Not yet moved into housing,25,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
Data not collected,6,all_persons,2018-05-01,2018-05-31,Q22e,without_children,3
Data not collected,6,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,3
Data not collected,6,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
Data not collected,6,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
Total persons,231,all_persons,2018-05-01,2018-05-31,Q22e,without_children,119
Total persons,231,all_persons,2018-05-01,2018-05-31,Q22e,with_children_and_adults,112
Total persons,231,all_persons,2018-05-01,2018-05-31,Q22e,with_only_children,0
Total persons,231,all_persons,2018-05-01,2018-05-31,Q22e,unknown_household_type,0
