number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,101
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,4
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,34
Adults with Only Other Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,115
Adults with Only Other Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,29
Adults with Only Other Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,15
Adults with Both Earned and Other Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,21
Adults with Both Earned and Other Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,8
Adults with No Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,153
Adults with No Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,12
Adults with No Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,22
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,9
Adults with Missing Income Information,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,3
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,203
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,68
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,399
Total Adults,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,317
Total Adults,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,82
1 or More Source of Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,253
1 or More Source of Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,36
1 or More Source of Income,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,59
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_annual_assessment_stayers,46
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-05-01,2018-05-31,Q18,number_of_adults_at_exit_leavers,0
