report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,587,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adults (age 18 or over),399,all_persons,2018-05-01,2018-05-31,Q5a
Number of Children (under age 18),186,all_persons,2018-05-01,2018-05-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2018-05-01,2018-05-31,Q5a
Number of Leavers,139,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adult Leavers,82,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adult and Head of Household Leavers,82,all_persons,2018-05-01,2018-05-31,Q5a
Number of Stayers,448,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adult Stayers,317,all_persons,2018-05-01,2018-05-31,Q5a
Number of Veterans,23,all_persons,2018-05-01,2018-05-31,Q5a
Number of Chronically Homeless Persons,74,all_persons,2018-05-01,2018-05-31,Q5a
Number of Youth Under Age 25,25,all_persons,2018-05-01,2018-05-31,Q5a
Number of Parenting Youth Under Age 25 with Children,7,all_persons,2018-05-01,2018-05-31,Q5a
Number of Adult Heads of Household,318,all_persons,2018-05-01,2018-05-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2018-05-01,2018-05-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,114,all_persons,2018-05-01,2018-05-31,Q5a
