veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,20,all_households,2018-01-01,2018-01-31,Q25b,without_children,20
Chronically Homeless Veteran,20,all_households,2018-01-01,2018-01-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,20,all_households,2018-01-01,2018-01-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,13,all_households,2018-01-01,2018-01-31,Q25b,without_children,11
Non-Chronically Homeless Veteran,13,all_households,2018-01-01,2018-01-31,Q25b,with_children_and_adults,2
Non-Chronically Homeless Veteran,13,all_households,2018-01-01,2018-01-31,Q25b,unknown_household_type,0
Not a Veteran,313,all_households,2018-01-01,2018-01-31,Q25b,without_children,254
Not a Veteran,313,all_households,2018-01-01,2018-01-31,Q25b,with_children_and_adults,59
Not a Veteran,313,all_households,2018-01-01,2018-01-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_households,2018-01-01,2018-01-31,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2018-01-01,2018-01-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2018-01-01,2018-01-31,Q25b,unknown_household_type,0
Data Not Collected,7,all_households,2018-01-01,2018-01-31,Q25b,without_children,6
Data Not Collected,7,all_households,2018-01-01,2018-01-31,Q25b,with_children_and_adults,1
Data Not Collected,7,all_households,2018-01-01,2018-01-31,Q25b,unknown_household_type,0
