number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,88
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,21
Adults with Only Other Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,117
Adults with Only Other Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,26
Adults with Only Other Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,15
Adults with Both Earned and Other Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,18
Adults with Both Earned and Other Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,3
Adults with No Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,183
Adults with No Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,13
Adults with No Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,40
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,11
Adults with Missing Income Information,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,1
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,228
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,63
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,417
Total Adults,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,337
Total Adults,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,80
1 or More Source of Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,240
1 or More Source of Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,35
1 or More Source of Income,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,43
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_annual_assessment_stayers,46
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-01-01,2018-01-31,Q18,number_of_adults_at_exit_leavers,0
