veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,20,all_persons,2018-01-01,2018-01-31,Q25a,without_children,20
Chronically Homeless Veteran,20,all_persons,2018-01-01,2018-01-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,20,all_persons,2018-01-01,2018-01-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,15,all_persons,2018-01-01,2018-01-31,Q25a,without_children,13
Non-Chronically Homeless Veteran,15,all_persons,2018-01-01,2018-01-31,Q25a,with_children_and_adults,2
Non-Chronically Homeless Veteran,15,all_persons,2018-01-01,2018-01-31,Q25a,unknown_household_type,0
Not a Veteran,373,all_persons,2018-01-01,2018-01-31,Q25a,without_children,287
Not a Veteran,373,all_persons,2018-01-01,2018-01-31,Q25a,with_children_and_adults,85
Not a Veteran,373,all_persons,2018-01-01,2018-01-31,Q25a,unknown_household_type,1
Client Doesn't Know/Client Refused,1,all_persons,2018-01-01,2018-01-31,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2018-01-01,2018-01-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2018-01-01,2018-01-31,Q25a,unknown_household_type,0
Data Not Collected,8,all_persons,2018-01-01,2018-01-31,Q25a,without_children,7
Data Not Collected,8,all_persons,2018-01-01,2018-01-31,Q25a,with_children_and_adults,1
Data Not Collected,8,all_persons,2018-01-01,2018-01-31,Q25a,unknown_household_type,0
