health_insurance,population,start_date,end_date,question,status,count
MEDICAID,all_persons,2018-01-01,2018-01-31,Q21,at_start,234
MEDICAID,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,22
MEDICAID,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,49
MEDICARE,all_persons,2018-01-01,2018-01-31,Q21,at_start,68
MEDICARE,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,12
MEDICARE,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,11
State Children's Health Insurance Program,all_persons,2018-01-01,2018-01-31,Q21,at_start,4
State Children's Health Insurance Program,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,0
State Children's Health Insurance Program,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,0
Veteran's Administration (VA) Medical Services,all_persons,2018-01-01,2018-01-31,Q21,at_start,13
Veteran's Administration (VA) Medical Services,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,10
Veteran's Administration (VA) Medical Services,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,1
Employer - Provided Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_start,18
Employer - Provided Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,0
Employer - Provided Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,2
Health Insurance obtained through COBRA,all_persons,2018-01-01,2018-01-31,Q21,at_start,0
Health Insurance obtained through COBRA,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,0
Health Insurance obtained through COBRA,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,0
Private Pay Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_start,33
Private Pay Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,1
Private Pay Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,1
State Health Insurance for Adults,all_persons,2018-01-01,2018-01-31,Q21,at_start,7
State Health Insurance for Adults,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,0
State Health Insurance for Adults,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,3
Indian Health Services Program,all_persons,2018-01-01,2018-01-31,Q21,at_start,0
Indian Health Services Program,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,0
Indian Health Services Program,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,0
Other,all_persons,2018-01-01,2018-01-31,Q21,at_start,3
Other,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,0
Other,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,1
No Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_start,208
No Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,13
No Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,44
Client Doesn't Know/Client Refused,all_persons,2018-01-01,2018-01-31,Q21,at_start,0
Client Doesn't Know/Client Refused,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,0
Data Not Collected,all_persons,2018-01-01,2018-01-31,Q21,at_start,22
Data Not Collected,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,75
Data Not Collected,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,2
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2018-01-01,2018-01-31,Q21,at_start,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,331
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,0
1 Source of Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_start,289
1 Source of Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,26
1 Source of Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,55
More than 1 Source of Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_start,43
More than 1 Source of Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_annual_assessment_for_stayers,9
More than 1 Source of Health Insurance,all_persons,2018-01-01,2018-01-31,Q21,at_exit_for_leavers,6
