, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",266,10,56
"""Unemployment Insurance""",4,0,0
"""Supplemental Security Income (SSI)""",164,20,30
"""Social Security Disability Insurance (SSDI)""",110,13,16
"""VA Service - Connected Disability Compensation""",10,1,2
"""VA Non-Service Connected Disability Pension""",6,3,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",19,0,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",29,5,7
"""Pension or retirement income from a former job""",6,0,0
"""Child Support""",16,0,4
"""Alimony and other spousal support""",0,0,0
"""Other Source""",12,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,55,0
