"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",226,8,45
"""Adults with Only Other Income""",264,35,38
"""Adults with Both Earned and Other Income""",37,2,9
"""Adults with No Income""",836,10,124
"""Adults with Client Doesn't Know/Client Refused Income Information""",3,0,0
"""Adults with Missing Income Information""",62,0,9
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,742,0
"""Number of Adult Stayers without Required Annual Assessment""",0,410,0
"""Total Adults""",1432,1207,225
"""1 or More Source of Income""",590,46,99
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,55,0
