, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",30,10,7
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",38,12,7
"""Social Security Disability Insurance (SSDI)""",31,7,7
"""VA Service - Connected Disability Compensation""",4,0,1
"""VA Non-Service Connected Disability Pension""",4,2,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",2,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",7,3,2
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",2,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,0,0
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,38,0
