, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",74,30,44,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",7,7,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",9,5,4,0,0
"""Staying or living with friends, permanent tenure""",7,7,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",3,1,2,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",11,8,3,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",111,58,53,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",20,15,5,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",29,7,22,0,0
"""Staying or living with friends, temporary tenure""",27,9,18,0,0
"""Place not meant for human habitation""",51,39,12,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",23,11,12,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",150,81,69,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",2,2,0,0,0
"""Jail, prison, or juvenile detention facility""",4,3,1,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",9,8,1,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",1,1,0,0,0
"""Other""",7,7,0,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected (no exit interview completed)""",21,17,0,4,0
"""Subtotal""",30,26,0,4,0
"""Total""",300,173,123,4,0
"""Total persons exiting to positive housing destinations""",55,35,20,0,0
"""Total persons whose destinations excluded them from the calculation""",2,2,0,0,0
"""Percentage""",0.18,0.2,0.16,0.0,0.0
