, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",178,6,55
"""$1 -  $150""",1,0,0
"""$151 - $250""",3,0,0
"""$251 - $500""",18,1,4
"""$501 - $1000""",108,6,23
"""$1001 - $1500""",72,9,18
"""$1501 - $2000""",29,1,15
"""$2001+""",41,0,18
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",41,1,8
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,234,0
"""Number of Adult Stayers without Required Annual Assessment""",0,92,0
"""Total Adults""",491,350,141
