"""Total Number of Persons Served""",703
"""Number of Adults (age 18 or over)""",491
"""Number of Children (under age 18)""",210
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",221
"""Number of Adult Leavers""",141
"""Number of Adult and Head of Household Leavers""",141
"""Number of Stayers""",482
"""Number of Adult Stayers""",350
"""Number of Veterans""",24
"""Number of Chronically Homeless Persons""",62
"""Number of Youth Under Age 25""",24
"""Number of Parenting Youth Under Age 25 with Children""",13
"""Number of Adult Heads of Household""",408
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",116
