"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",111,0,42
"""Adults with Only Other Income""",138,16,26
"""Adults with Both Earned and Other Income""",23,1,9
"""Adults with No Income""",212,7,64
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,234,0
"""Number of Adult Stayers without Required Annual Assessment""",0,92,0
"""Total Adults""",491,350,141
"""1 or More Source of Income""",286,20,84
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,24,0
