"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",101,4,34
"""Adults with Only Other Income""",115,29,15
"""Adults with Both Earned and Other Income""",21,1,8
"""Adults with No Income""",153,12,22
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",9,0,3
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,203,0
"""Number of Adult Stayers without Required Annual Assessment""",0,68,0
"""Total Adults""",399,317,82
"""1 or More Source of Income""",253,36,59
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,46,0
