, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",26,23,3,0,0
"""8 to 14 days""",6,0,6,0,0
"""15 to 21 days""",1,1,0,0,0
"""22 to 30 days""",8,1,7,0,0
"""31 to 60 days""",19,8,11,0,0
"""61 to 180 days""",44,17,27,0,0
"""181 to 365 days""",37,11,26,0,0
"""366-730 days (1-2 years)""",23,21,2,0,0
"""731 days or more""",36,27,9,0,0
"""Total (persons moved into housing)""",200,109,91,0,0
"""Not yet moved into housing""",25,7,18,0,0
"""Data not collected""",6,3,3,0,0
"""Total persons""",231,119,112,0,0
