"""Total Number of Persons Served""",587
"""Number of Adults (age 18 or over)""",399
"""Number of Children (under age 18)""",186
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",139
"""Number of Adult Leavers""",82
"""Number of Adult and Head of Household Leavers""",82
"""Number of Stayers""",448
"""Number of Adult Stayers""",317
"""Number of Veterans""",23
"""Number of Chronically Homeless Persons""",74
"""Number of Youth Under Age 25""",25
"""Number of Parenting Youth Under Age 25 with Children""",7
"""Number of Adult Heads of Household""",318
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",114
