, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",6,16,22,0.27,2,19,21,0.1,0,0,0,0.0
"""Supplemental Security Income (SSI)""",8,1,9,0.89,1,0,1,1.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",7,1,8,0.88,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,3,3,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,3,3,0.0,0,0,0,0.0
"""Other source""",1,1,2,0.5,0,2,2,0.0,0,0,0,0.0
"""No Sources""",3,6,9,0.33,2,7,9,0.22,0,0,0,0.0
"""Unduplicated Total Adults""",21,23,44,,5,28,33,,0,0,0,
