, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",29,17,12,0,0
"""8 to 14 days""",6,0,6,0,0
"""15 to 21 days""",3,1,2,0,0
"""22 to 30 days""",5,1,4,0,0
"""31 to 60 days""",15,8,7,0,0
"""61 to 180 days""",43,17,26,0,0
"""181 to 365 days""",33,9,24,0,0
"""366-730 days (1-2 years)""",22,20,2,0,0
"""731 days or more""",41,32,9,0,0
"""Total (persons moved into housing)""",197,105,92,0,0
"""Not yet moved into housing""",18,3,15,0,0
"""Data not collected""",10,5,5,0,0
"""Total persons""",225,113,112,0,0
